word,stars,level,alt_spelling,derived
rank,,선택,,
rapid,**,중고공통,,
rare,**,중고공통,,
rat,**,중고공통,,
rate,**,중고공통,,
rather,**,중고공통,,
rational,,선택,,
raw,,선택,,
reach,**,중고공통,,
react,**,중고공통,,
read,*,초등,,
ready,*,초등,,
real,**,중고공통,,realize / realise
rear,,선택,,
reason,**,중고공통,,reasonable
rebel,,선택,,
receipt,,선택,,
receive,**,중고공통,,reception
recent,**,중고공통,,
recipe,**,중고공통,,
recognize,**,중고공통,,
recommend,**,중고공통,,
record,**,중고공통,,
recover,**,중고공통,,
recreation,*,초등,,
recruit,,선택,,
red,*,초등,,
reduce,**,중고공통,,
refer,**,중고공통,,
refine,,선택,,
reflect,**,중고공통,,
reform,,선택,,
refrigerate,,선택,,refrigerator
refuse,**,중고공통,,
regard,**,중고공통,,
region,**,중고공통,,
register,**,중고공통,,
regret,,선택,,
regular,**,중고공통,,
regulate,,선택,,
reinforce,,선택,,
reject,,선택,,
relate,**,중고공통,,"relative, relation, relationship"
relax,**,중고공통,,
release,**,중고공통,,
relevant,,선택,,
relief,**,중고공통,,
relieve,,선택,,
religion,,선택,,
reluctant,,선택,,
rely,**,중고공통,,
remain,**,중고공통,,
remark,**,중고공통,,
remedy,,선택,,
remember,*,초등,,
remind,**,중고공통,,
remote,,선택,,
remove,**,중고공통,,
rent,**,중고공통,,
repair,**,중고공통,,
repeat,**,중고공통,,
replace,**,중고공통,,
reply,**,중고공통,,
report,**,중고공통,,
represent,**,중고공통,,
republic,,선택,,
reputation,,선택,,
request,**,중고공통,,
require,**,중고공통,,
rescue,,선택,,
research,**,중고공통,,
resemble,,선택,,
reserve,**,중고공통,,
reside,,선택,,resident
resign,,선택,,
resist,**,중고공통,,
resolve,,선택,,
resort,,선택,,
resource,**,중고공통,,
respect,**,중고공통,,respective
respond,**,중고공통,,
responsible,**,중고공통,,
rest,**,중고공통,,
restaurant,*,초등,,
restore,,선택,,
restrain,,선택,,
restrict,,선택,,
restroom,*,초등,,
result,**,중고공통,,
resume,,선택,,
retail,,선택,,
retain,,선택,,
retire,**,중고공통,,
retreat,,선택,,
return,*,초등,,
reveal,,선택,,
revenge,,선택,,
reverse,,선택,,
revise,,선택,,
revive,,선택,,
revolution,,선택,,
reward,,선택,,
rhythm,,선택,,
ribbon,*,초등,,
rice,**,중고공통,,
rich,*,초등,,
rid,,선택,,
ride,**,중고공통,,
ridicule,,선택,,ridiculous
right,*,초등,,
ring,*,초등,,
riot,,선택,,
rise,**,중고공통,,
risk,**,중고공통,,
rival,,선택,,
river,*,초등,,
road,*,초등,,
roar,,선택,,
roast,,선택,,
rob,**,중고공통,,
robot,*,초등,,
rock,*,초등,,
rocket,**,중고공통,,
rod,,선택,,
role,**,중고공통,,
roll,**,중고공통,,enroll / enrol
romantic,,선택,,
roof,**,중고공통,,
room,*,초등,,
root,**,중고공통,,
